,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_cm,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_kg,Price,Weight_lbs,Screen_Size_inch,Price-binned,Screen-Full_HD,Screen-IPS_Panel
0,Acer,4,2,1,5,35.56,0.5517241379310345,8,256,1.6,978,3.53,14.0,Low,0,1
1,Dell,3,1,1,3,39.62,0.6896551724137931,4,256,2.2,634,4.85,15.6,Low,1,0
2,Dell,3,1,1,7,39.62,0.9310344827586208,8,256,2.2,946,4.85,15.6,Low,1,0
3,Dell,4,2,1,5,33.78,0.5517241379310345,8,128,1.22,1244,2.69,13.3,Low,0,1
4,HP,4,2,1,7,39.62,0.6206896551724138,8,256,1.91,837,4.21,15.6,Low,1,0
5,Dell,3,1,1,5,39.62,0.5517241379310345,8,256,2.2,1016,4.85,15.6,Low,1,0
6,HP,3,3,1,5,39.62,0.5517241379310345,8,256,2.1,1117,4.63,15.6,Low,1,0
7,Acer,3,2,1,5,38.1,0.5517241379310345,4,256,2.2,866,4.85,15.0,Low,0,1
8,Dell,3,1,1,5,39.62,0.8620689655172414,4,256,2.3,812,5.07,15.6,Low,1,0
9,Acer,3,3,1,7,38.1,0.6206896551724138,8,256,2.2,1068,4.85,15.0,Low,0,1
10,Dell,3,1,1,7,39.62,0.6206896551724138,8,256,2.13,975,4.7,15.6,Low,1,0
11,HP,3,2,1,3,39.62,0.6896551724137931,4,128,1.91,558,4.21,15.6,Low,1,0
12,Asus,3,2,2,3,39.62,0.6896551724137931,4,256,2.0,527,4.41,15.6,Low,1,0
13,Dell,4,2,1,5,35.56,0.5517241379310345,8,256,1.7,1117,3.75,14.0,Low,1,0
14,Asus,3,2,1,5,35.56,0.5517241379310345,8,256,1.4,1195,3.09,14.0,Low,1,0
15,HP,3,2,1,5,39.62,0.8620689655172414,8,256,1.86,876,4.1,15.6,Low,1,0
16,Dell,4,1,1,7,33.02,0.6206896551724138,8,256,1.4,1213,3.09,13.0,Low,0,1
17,Dell,3,1,1,7,39.62,0.6206896551724138,8,256,2.2,1105,4.85,15.6,Low,1,0
18,Dell,4,2,1,5,38.1,0.5517241379310345,8,256,1.88,1392,4.15,15.0,Low,0,1
19,HP,3,2,1,5,35.56,0.5517241379310345,8,256,1.63,1092,3.59,14.0,Low,1,0
20,HP,4,3,1,7,38.1,0.6206896551724138,8,256,1.83,888,4.04,15.0,Low,0,1
21,HP,3,2,1,5,39.62,0.8620689655172414,8,256,1.96,761,4.32,15.6,Low,1,0
22,Dell,4,2,1,7,33.02,0.6206896551724138,8,256,1.21,2095,2.67,13.0,Medium,0,1
23,Dell,1,3,1,5,39.62,0.8620689655172414,8,256,2.65,1518,5.84,15.6,Low,1,0
24,Asus,4,2,1,7,35.56,0.9310344827586208,8,256,1.25,1333,2.76,14.0,Low,1,0
25,Dell,3,1,2,3,39.62,0.6896551724137931,4,256,2.2,616,4.85,15.6,Low,1,0
26,Asus,3,3,1,3,39.62,0.8275862068965517,6,256,2.0,733,4.41,15.6,Low,1,0
27,HP,3,1,1,7,39.62,0.9310344827586208,8,256,1.91,913,4.21,15.6,Low,1,0
28,HP,4,3,1,7,33.02,0.9310344827586208,8,256,1.38,1421,3.04,13.0,Low,0,1
29,HP,3,3,1,5,35.56,0.8620689655172414,6,256,1.8622317596566522,837,4.11,14.0,Low,0,1
30,Asus,4,3,1,7,35.56,0.9310344827586208,8,256,1.3,1515,2.87,14.0,Low,0,1
31,Lenovo,3,2,1,7,35.56,0.9310344827586208,8,256,1.58,1880,3.48,14.0,Medium,0,1
32,Dell,4,2,1,5,33.02,0.5517241379310345,8,256,1.21,2069,2.67,13.0,Medium,0,1
33,Asus,3,3,1,7,39.62,0.6206896551724138,8,256,1.7,1420,3.75,15.6,Low,1,0
34,HP,3,2,1,5,43.94,0.5517241379310345,8,256,2.5,1179,5.51,17.3,Low,1,0
35,Acer,4,2,1,7,35.56,0.6206896551724138,8,256,1.6,1123,3.53,14.0,Low,0,1
36,Acer,3,3,1,3,39.62,0.9310344827586208,4,256,2.2,727,4.85,15.6,Low,1,0
37,HP,3,2,1,7,35.56,0.6206896551724138,8,256,1.63,1255,3.59,14.0,Low,1,0
38,HP,3,2,1,5,33.02,0.8620689655172414,4,256,1.8622317596566522,888,4.11,13.0,Low,0,1
39,Lenovo,3,1,1,5,35.56,0.5517241379310345,8,256,1.75,1418,3.86,14.0,Low,0,1
40,Asus,4,2,1,7,35.56,0.6206896551724138,8,256,1.25,1396,2.76,14.0,Low,1,0
41,HP,4,2,1,5,35.56,0.9310344827586208,4,256,1.48,1374,3.26,14.0,Low,1,0
42,HP,3,1,1,5,39.62,0.5517241379310345,6,256,1.91,786,4.21,15.6,Low,1,0
43,Acer,3,3,1,5,43.18,0.5517241379310345,4,256,3.0,1023,6.62,17.0,Low,0,1
44,Dell,3,1,1,5,39.62,0.5517241379310345,8,256,2.13,925,4.7,15.6,Low,1,0
45,Lenovo,1,3,1,7,38.1,0.9655172413793103,16,256,2.5,1371,5.51,15.0,Low,0,1
46,Acer,3,3,1,5,43.18,0.5517241379310345,8,256,3.0,1085,6.62,17.0,Low,0,1
47,Huawei,4,2,1,5,33.02,0.8620689655172414,8,256,1.05,1714,2.32,13.0,Medium,0,1
48,HP,3,3,1,5,43.94,0.5517241379310345,8,256,2.5,1172,5.51,17.3,Low,1,0
49,Dell,4,2,1,5,33.78,0.5517241379310345,8,256,1.8622317596566522,1777,4.11,13.3,Medium,1,0
50,Acer,4,2,1,5,33.02,0.41379310344827586,8,256,1.12,1256,2.47,13.0,Low,0,1
51,HP,3,3,1,7,43.94,0.6206896551724138,8,256,2.5,1327,5.51,17.3,Low,1,0
52,Dell,4,2,1,7,33.78,0.6206896551724138,8,256,1.2,1841,2.65,13.3,Medium,1,0
53,Dell,4,1,1,7,33.02,0.6206896551724138,8,256,1.4,1184,3.09,13.0,Low,0,1
54,HP,3,3,1,7,35.56,0.6206896551724138,8,256,1.63,1310,3.59,14.0,Low,1,0
55,Dell,4,2,1,5,35.56,0.5517241379310345,8,256,1.6,1460,3.53,14.0,Low,1,0
56,Dell,3,1,2,5,39.62,0.5517241379310345,8,256,2.2,860,4.85,15.6,Low,1,0
57,Toshiba,4,2,1,7,33.78,0.8620689655172414,8,256,1.2,1731,2.65,13.3,Medium,1,0
58,Acer,3,3,1,7,39.62,0.9310344827586208,8,256,2.2,1057,4.85,15.6,Low,1,0
59,Asus,3,3,1,5,39.62,0.8620689655172414,8,256,2.0,977,4.41,15.6,Low,1,0
60,Dell,3,2,1,5,35.56,0.8620689655172414,8,256,1.6,1091,3.53,14.0,Low,1,0
61,Dell,3,1,2,7,39.62,0.9310344827586208,16,256,1.8622317596566522,1142,4.11,15.6,Low,1,0
62,Acer,1,3,1,5,38.1,0.8620689655172414,8,256,2.5,1075,5.51,15.0,Low,0,1
63,Dell,1,3,1,5,39.62,0.8620689655172414,8,256,2.56,1117,5.64,15.6,Low,1,0
64,Asus,1,3,1,7,43.94,1.0,16,256,3.6,3810,7.94,17.3,High,1,0
65,Acer,3,3,1,3,43.18,0.9310344827586208,4,256,3.0,892,6.62,17.0,Low,0,1
66,Dell,4,2,1,5,33.78,0.5517241379310345,8,256,1.41,1206,3.11,13.3,Low,1,0
67,Lenovo,3,2,1,7,39.62,0.6206896551724138,8,256,2.05,1118,4.52,15.6,Low,1,0
68,Dell,3,1,2,7,39.62,0.6206896551724138,8,256,1.8622317596566522,934,4.11,15.6,Low,1,0
69,Lenovo,1,3,1,5,38.1,0.8620689655172414,8,256,2.5,1053,5.51,15.0,Low,0,1
70,Lenovo,3,2,1,5,39.62,0.8620689655172414,6,256,2.2,735,4.85,15.6,Low,1,0
71,Acer,3,3,1,7,38.1,0.6206896551724138,8,256,3.0,1208,6.62,15.0,Low,0,1
72,Lenovo,3,2,1,7,38.1,0.9310344827586208,8,256,1.95,1394,4.3,15.0,Low,0,1
73,Asus,4,3,1,5,39.62,0.8620689655172414,8,256,1.7,1241,3.75,15.6,Low,1,0
74,Dell,3,3,1,7,39.62,0.9655172413793103,8,256,2.0,2323,4.41,15.6,Medium,1,0
75,Lenovo,3,2,1,5,39.62,0.5517241379310345,8,256,2.05,939,4.52,15.6,Low,1,0
76,Acer,3,3,2,7,39.62,0.9655172413793103,8,256,2.5,1244,5.51,15.6,Low,1,0
77,Dell,5,3,1,7,43.94,1.0,16,256,3.42,3665,7.54,17.3,High,1,0
78,Toshiba,3,3,1,7,38.1,0.8620689655172414,8,256,2.2,1325,4.85,15.0,Low,0,1
79,Lenovo,3,2,1,5,33.02,0.8620689655172414,8,256,1.1,1269,2.43,13.0,Low,0,1
80,HP,3,2,1,5,35.56,0.8620689655172414,8,256,1.95,1245,4.3,14.0,Low,1,0
81,HP,3,2,1,7,35.56,0.9310344827586208,8,256,1.48,1641,3.26,14.0,Medium,1,0
82,Asus,3,2,1,7,35.56,0.9310344827586208,8,256,2.0,1390,4.41,14.0,Low,1,0
83,Asus,4,3,1,7,39.62,0.9310344827586208,8,256,1.7,1334,3.75,15.6,Low,1,0
84,HP,4,2,1,7,31.75,0.9310344827586208,8,256,1.26,1696,2.78,12.5,Medium,1,0
85,Toshiba,3,2,1,5,38.1,0.8620689655172414,8,256,2.0,1198,4.41,15.0,Low,0,1
86,Asus,1,3,1,7,39.62,0.9655172413793103,8,256,2.5,1269,5.51,15.6,Low,1,0
87,HP,3,2,1,5,35.56,0.896551724137931,8,256,1.48,1611,3.26,14.0,Low,1,0
88,HP,3,2,1,5,39.62,0.8620689655172414,8,256,1.84,1453,4.06,15.6,Low,1,0
89,Dell,3,3,1,5,39.62,0.5517241379310345,8,256,2.0,1452,4.41,15.6,Low,1,0
90,Dell,4,2,1,7,33.78,0.6206896551724138,8,256,1.2,2006,2.65,13.3,Medium,1,0
91,HP,3,2,1,7,39.62,0.9310344827586208,8,256,1.84,1656,4.06,15.6,Medium,1,0
92,HP,5,3,1,7,39.62,0.9655172413793103,8,256,2.6,2208,5.73,15.6,Medium,1,0
93,Dell,3,2,1,5,35.56,0.896551724137931,8,256,1.36,1813,3.0,14.0,Medium,1,0
94,Asus,3,2,1,5,35.56,0.8620689655172414,8,256,2.0,1200,4.41,14.0,Low,1,0
95,Dell,3,1,1,7,39.62,0.9310344827586208,8,256,2.33,1142,5.14,15.6,Low,1,0
96,HP,4,2,1,7,35.56,0.9310344827586208,8,256,1.36,2223,3.0,14.0,Medium,0,1
97,Lenovo,3,3,1,5,35.56,0.8620689655172414,8,256,1.5,1396,3.31,14.0,Low,0,1
98,Lenovo,3,2,1,3,33.02,0.8275862068965517,4,128,1.5,697,3.31,13.0,Low,0,1
99,Dell,5,3,1,7,38.1,0.9310344827586208,8,256,2.0,2712,4.41,15.0,Medium,0,1
100,MSI,1,3,1,7,43.94,0.9655172413793103,8,256,2.7,1714,5.95,17.3,Medium,1,0
101,Dell,3,1,2,7,39.62,0.9310344827586208,8,256,2.33,989,5.14,15.6,Low,1,0
102,Lenovo,3,1,1,7,38.1,0.6206896551724138,8,256,2.1,1562,4.63,15.0,Low,0,1
103,Lenovo,3,2,1,5,35.56,0.8620689655172414,8,256,1.9,1192,4.19,14.0,Low,0,1
104,Acer,3,3,2,7,39.62,0.9655172413793103,8,256,2.5,1117,5.51,15.6,Low,1,0
105,Dell,3,1,2,5,39.62,0.8620689655172414,4,256,2.3,761,5.07,15.6,Low,1,0
106,HP,4,2,1,7,35.56,0.8620689655172414,8,256,1.43,1905,3.15,14.0,Medium,1,0
107,Lenovo,4,1,1,7,35.56,0.6206896551724138,8,256,1.75,1544,3.86,14.0,Low,0,1
108,HP,3,2,1,7,39.62,1.0,8,256,2.31,1813,5.09,15.6,Medium,1,0
109,Dell,4,2,2,7,35.56,0.9655172413793103,8,256,1.6,1396,3.53,14.0,Low,1,0
110,Lenovo,3,2,1,7,33.02,0.9310344827586208,8,256,1.4,1283,3.09,13.0,Low,0,1
111,Lenovo,3,2,1,3,35.56,0.9310344827586208,4,128,1.7,761,3.75,14.0,Low,0,1
112,Asus,3,2,2,5,39.62,0.8620689655172414,4,256,2.0,710,4.41,15.6,Low,1,0
113,Dell,3,1,1,5,39.62,0.5517241379310345,4,256,2.2,951,4.85,15.6,Low,1,0
114,Lenovo,4,2,1,5,30.48,0.8620689655172414,8,256,1.36,1815,3.0,12.0,Medium,0,1
115,Dell,3,3,1,5,35.56,0.9655172413793103,8,256,1.64,1498,3.62,14.0,Low,1,0
116,MSI,1,3,1,5,39.62,0.8620689655172414,8,256,2.2,1306,4.85,15.6,Low,1,0
117,Dell,5,3,1,7,38.1,0.9310344827586208,16,256,2.17,2509,4.78,15.0,Medium,0,1
118,Lenovo,3,2,1,5,35.56,0.8620689655172414,8,256,1.65,1709,3.64,14.0,Medium,1,0
119,Lenovo,3,3,1,7,39.62,1.0,8,256,2.67,2655,5.89,15.6,Medium,1,0
120,Dell,4,2,1,5,39.62,0.5517241379310345,8,256,1.42,2340,3.13,15.6,Medium,1,0
121,Dell,5,3,1,7,39.62,0.9655172413793103,8,256,1.78,3059,3.92,15.6,High,1,0
122,Toshiba,3,2,1,5,33.02,0.8620689655172414,8,256,1.05,2124,2.32,13.0,Medium,0,1
123,HP,3,2,1,5,33.02,0.5517241379310345,4,128,1.49,922,3.29,13.0,Low,0,1
124,Lenovo,3,2,1,5,35.56,0.5517241379310345,8,256,1.75,1333,3.86,14.0,Low,0,1
125,Lenovo,3,3,1,5,38.1,0.8620689655172414,8,256,2.3,1286,5.07,15.0,Low,0,1
126,Lenovo,3,2,1,7,39.62,0.6206896551724138,8,256,2.17,1142,4.78,15.6,Low,1,0
127,Lenovo,3,2,1,3,33.02,0.8275862068965517,8,256,1.4,1206,3.09,13.0,Low,0,1
128,Lenovo,3,2,1,5,38.1,0.8620689655172414,8,256,2.3,1157,5.07,15.0,Low,0,1
129,Lenovo,3,2,1,5,33.78,0.8620689655172414,8,256,1.44,1206,3.18,13.3,Low,1,0
130,Dell,4,2,1,5,33.78,0.8620689655172414,8,128,1.29,1142,2.84,13.3,Low,0,1
131,HP,3,3,1,5,39.62,0.8620689655172414,8,256,2.04,1129,4.5,15.6,Low,1,0
132,HP,4,2,1,7,33.02,0.9310344827586208,8,256,1.32,1777,2.91,13.0,Medium,0,1
133,Dell,3,2,1,5,35.56,0.896551724137931,8,256,1.64,1626,3.62,14.0,Medium,1,0
134,Lenovo,3,2,1,5,35.56,0.793103448275862,8,256,2.02,1702,4.45,14.0,Medium,1,0
135,Dell,3,2,1,5,39.62,0.9655172413793103,8,256,1.9,1749,4.19,15.6,Medium,1,0
136,Dell,3,3,1,7,39.62,0.9655172413793103,8,256,1.93,1739,4.26,15.6,Medium,1,0
137,Dell,3,1,1,5,39.62,0.5517241379310345,8,256,2.2,1013,4.85,15.6,Low,1,0
138,Lenovo,3,3,1,7,35.56,0.9310344827586208,8,256,1.87,1091,4.12,14.0,Low,0,1
139,Dell,3,2,1,3,35.56,0.6896551724137931,4,128,1.6,935,3.53,14.0,Low,1,0
140,HP,3,2,1,3,39.62,0.8275862068965517,4,128,2.1,896,4.63,15.6,Low,1,0
141,Lenovo,3,2,1,3,39.62,0.6896551724137931,4,128,2.2,634,4.85,15.6,Low,1,0
142,Dell,3,2,1,5,39.62,0.8620689655172414,8,256,1.9,1419,4.19,15.6,Low,1,0
143,Lenovo,3,2,1,3,39.62,0.9310344827586208,4,128,2.05,800,4.52,15.6,Low,1,0
144,Lenovo,3,3,1,7,43.18,0.9655172413793103,8,256,3.4,3810,7.5,17.0,High,0,1
145,Lenovo,3,2,1,5,39.62,0.8620689655172414,8,256,2.3,1054,5.07,15.6,Low,1,0
146,Dell,3,1,2,7,39.62,0.9310344827586208,8,256,2.2,951,4.85,15.6,Low,1,0
147,HP,3,2,1,3,33.78,0.8275862068965517,4,128,1.49,913,3.29,13.3,Low,1,0
148,Dell,3,3,1,7,39.62,0.9655172413793103,16,256,1.93,1953,4.26,15.6,Medium,1,0
149,Lenovo,4,2,1,7,35.56,0.896551724137931,12,256,1.4,2125,3.09,14.0,Medium,0,1
150,Lenovo,3,2,1,5,35.56,0.8620689655172414,8,256,1.7,1872,3.75,14.0,Medium,0,1
151,Dell,5,3,1,7,39.62,0.9655172413793103,8,256,2.06,2240,4.54,15.6,Medium,1,0
152,HP,3,2,1,7,39.62,0.9310344827586208,8,256,1.84,1548,4.06,15.6,Low,1,0
153,Toshiba,3,2,1,7,38.1,0.8620689655172414,8,256,2.2,1777,4.85,15.0,Medium,0,1
154,Dell,3,1,2,5,39.62,0.8620689655172414,4,128,2.18,723,4.81,15.6,Low,1,0
155,Lenovo,3,2,1,5,35.56,0.793103448275862,8,256,1.65,1861,3.64,14.0,Medium,1,0
156,Dell,3,3,1,7,39.62,0.9655172413793103,8,256,2.0,2312,4.41,15.6,Medium,1,0
157,Lenovo,3,2,1,5,39.62,0.5517241379310345,4,256,1.8,1053,3.97,15.6,Low,1,0
158,Acer,4,2,1,5,35.56,0.8620689655172414,8,256,1.8,1167,3.97,14.0,Low,0,1
159,Razer,1,3,1,7,35.56,0.9655172413793103,16,256,1.95,3301,4.3,14.0,High,1,0
160,Toshiba,3,2,1,5,33.78,0.793103448275862,8,256,1.2,1541,2.65,13.3,Low,1,0
161,Lenovo,4,2,1,7,30.48,0.9310344827586208,8,256,1.36,2012,3.0,12.0,Medium,0,1
162,Dell,4,2,1,5,33.78,0.5517241379310345,8,256,1.2,1842,2.65,13.3,Medium,1,0
163,Dell,3,1,1,7,39.62,0.6206896551724138,8,256,2.2,1167,4.85,15.6,Low,1,0
164,Dell,3,2,1,5,35.56,0.8275862068965517,8,256,1.56,1561,3.44,14.0,Low,1,0
165,Toshiba,3,2,1,5,38.1,0.8620689655172414,8,256,2.0,1598,4.41,15.0,Low,0,1
166,Asus,4,2,1,5,35.56,0.8620689655172414,8,256,1.1,1442,2.43,14.0,Low,1,0
167,Acer,1,3,1,5,39.62,0.8620689655172414,16,256,2.5,1650,5.51,15.6,Medium,1,0
168,MSI,1,3,1,5,39.62,0.8620689655172414,8,256,2.2,1268,4.85,15.6,Low,1,0
169,HP,3,1,1,3,43.18,0.6896551724137931,4,256,2.5,888,5.51,17.0,Low,0,1
170,Lenovo,3,2,1,5,35.56,0.8620689655172414,4,256,1.7,888,3.75,14.0,Low,1,0
171,Toshiba,3,2,1,5,33.02,0.8620689655172414,8,256,1.5,1236,3.31,13.0,Low,0,1
172,Dell,3,2,1,5,39.62,0.8620689655172414,8,256,2.18,1010,4.81,15.6,Low,1,0
173,Lenovo,3,2,1,5,35.56,0.793103448275862,8,256,1.8,1513,3.97,14.0,Low,1,0
174,Dell,3,3,2,5,35.56,0.9655172413793103,8,256,1.64,1383,3.62,14.0,Low,1,0
175,Lenovo,3,3,1,5,35.56,0.8620689655172414,8,256,1.87,1089,4.12,14.0,Low,0,1
176,Dell,3,2,1,5,39.62,0.896551724137931,8,256,1.9,1498,4.19,15.6,Low,1,0
177,HP,3,3,1,7,43.94,0.9310344827586208,8,256,2.63,1524,5.8,17.3,Low,1,0
178,Lenovo,4,2,1,5,35.56,0.8620689655172414,8,256,1.32,1904,2.91,14.0,Medium,0,1
179,Lenovo,3,2,1,5,33.02,0.8620689655172414,8,256,1.44,1219,3.18,13.0,Low,0,1
180,HP,5,3,1,7,39.62,0.9655172413793103,16,256,2.6,3073,5.73,15.6,High,1,0
181,Toshiba,3,2,1,5,35.56,0.8620689655172414,8,256,1.25,1950,2.76,14.0,Medium,0,1
182,Samsung,4,2,1,7,33.78,0.9310344827586208,16,256,0.81,2095,1.79,13.3,Medium,1,0
183,HP,3,2,1,3,39.62,0.6896551724137931,8,256,1.86,685,4.1,15.6,Low,1,0
184,HP,3,2,1,5,39.62,0.8275862068965517,8,256,1.84,2414,4.06,15.6,Medium,1,0
185,HP,5,3,1,7,39.62,0.896551724137931,8,256,2.59,1983,5.71,15.6,Medium,1,0
186,Dell,4,2,1,7,31.75,0.9655172413793103,16,256,1.18,2361,2.6,12.5,Medium,1,0
187,Samsung,4,2,1,7,39.62,0.9310344827586208,8,256,1.31,2031,2.89,15.6,Medium,1,0
188,Dell,3,1,1,7,39.62,0.9310344827586208,16,256,2.3,1501,5.07,15.6,Low,1,0
189,Acer,3,2,1,3,35.56,0.8275862068965517,4,128,1.8,808,3.97,14.0,Low,0,1
190,Dell,1,3,1,5,39.62,0.8620689655172414,8,256,2.62,1251,5.78,15.6,Low,1,0
191,Dell,3,1,1,3,39.62,0.6896551724137931,8,256,2.0,939,4.41,15.6,Low,1,0
192,HP,5,3,1,7,39.62,0.9655172413793103,8,256,3.14,2623,6.92,15.6,Medium,1,0
193,Asus,3,2,1,5,39.62,0.8620689655172414,8,256,2.37,1396,5.23,15.6,Low,1,0
194,Dell,4,2,1,5,33.78,0.8620689655172414,8,256,1.29,1904,2.84,13.3,Medium,1,0
195,Samsung,4,2,1,5,33.78,0.8620689655172414,8,256,0.81,1904,1.79,13.3,Medium,1,0
196,Dell,3,1,1,5,39.62,0.8620689655172414,8,256,2.18,1003,4.81,15.6,Low,1,0
197,Lenovo,4,2,1,7,35.56,0.9310344827586208,8,256,1.32,2361,2.91,14.0,Medium,1,0
198,MSI,1,3,1,5,39.62,0.8620689655172414,8,256,2.4,1523,5.29,15.6,Low,1,0
199,Acer,3,2,1,3,35.56,0.8275862068965517,8,128,1.5,786,3.31,14.0,Low,0,1
200,Lenovo,3,2,1,5,35.56,0.793103448275862,8,256,1.7,1507,3.75,14.0,Low,1,0
201,Lenovo,3,2,1,5,35.56,0.896551724137931,8,256,1.32,2096,2.91,14.0,Medium,0,1
202,Dell,3,1,1,7,39.62,0.9310344827586208,4,256,2.18,939,4.81,15.6,Low,1,0
203,Lenovo,4,3,1,7,35.56,0.9655172413793103,8,256,1.96,2417,4.32,14.0,Medium,0,1
204,Asus,3,3,1,7,38.1,0.9310344827586208,8,256,2.3,1000,5.07,15.0,Low,0,1
205,Dell,3,2,1,5,39.62,0.8620689655172414,8,128,1.9,1200,4.19,15.6,Low,1,0
206,HP,3,1,1,5,39.62,0.896551724137931,8,256,1.84,1714,4.06,15.6,Medium,1,0
207,Toshiba,3,2,1,5,33.78,0.8620689655172414,4,128,1.05,1632,2.32,13.3,Medium,1,0
208,Acer,3,2,1,5,35.56,0.8620689655172414,8,256,1.56,1146,3.44,14.0,Low,0,1
209,Toshiba,3,2,1,7,38.1,0.9310344827586208,8,256,2.0,1763,4.41,15.0,Medium,0,1
210,Samsung,4,3,1,7,38.1,0.9310344827586208,16,256,1.23,2349,2.71,15.0,Medium,1,0
211,Dell,4,2,1,7,31.75,0.9655172413793103,8,256,1.6,2147,3.53,12.5,Medium,1,0
212,Xiaomi,4,3,1,5,33.02,0.793103448275862,8,256,1.28,1188,2.82,13.0,Low,0,1
213,HP,3,2,1,5,39.62,0.8620689655172414,4,256,2.04,1066,4.5,15.6,Low,1,0
214,HP,3,2,1,5,35.56,0.8620689655172414,4,128,1.95,1607,4.3,14.0,Low,1,0
215,Samsung,4,2,1,7,38.1,0.9310344827586208,8,256,1.17,2158,2.58,15.0,Medium,1,0
216,Lenovo,4,2,1,5,35.56,0.8620689655172414,8,256,1.32,2285,2.91,14.0,Medium,0,1
217,Toshiba,3,2,1,5,33.78,0.8620689655172414,8,256,1.05,1874,2.32,13.3,Medium,1,0
218,Dell,3,2,1,5,35.56,0.9655172413793103,8,256,1.6,1531,3.53,14.0,Low,1,0
219,Lenovo,3,3,1,7,39.62,0.9310344827586208,6,256,2.2,1002,4.85,15.6,Low,1,0
220,HP,3,3,1,7,39.62,0.9310344827586208,8,256,2.04,1294,4.5,15.6,Low,1,0
221,Lenovo,3,2,1,5,33.78,0.8620689655172414,4,128,1.44,1119,3.18,13.3,Low,1,0
222,HP,3,2,1,5,33.78,0.8620689655172414,8,256,1.49,1219,3.29,13.3,Low,1,0
223,HP,4,1,1,7,39.62,0.8620689655172414,8,256,1.84,1648,4.06,15.6,Medium,1,0
224,Toshiba,3,3,1,7,38.1,0.896551724137931,16,256,2.4,2509,5.29,15.0,Medium,0,1
225,Lenovo,4,2,1,7,30.48,0.9310344827586208,8,256,1.36,2096,3.0,12.0,Medium,0,1
226,HP,3,2,1,5,39.62,0.793103448275862,8,256,2.31,1480,5.09,15.6,Low,1,0
227,Toshiba,3,2,1,5,35.56,0.793103448275862,4,128,1.47,1404,3.24,14.0,Low,0,1
228,HP,2,2,1,5,31.75,0.793103448275862,8,256,1.26,2120,2.78,12.5,Medium,1,0
229,Dell,4,2,1,5,35.56,0.8620689655172414,8,256,1.36,2082,3.0,14.0,Medium,1,0
230,Dell,4,2,1,5,39.62,0.8620689655172414,8,256,1.36,1870,3.0,15.6,Medium,1,0
231,Dell,4,2,1,7,35.56,0.9655172413793103,8,256,1.36,2255,3.0,14.0,Medium,1,0
232,Toshiba,3,2,1,5,33.78,0.793103448275862,8,256,1.2,1855,2.65,13.3,Medium,1,0
233,Lenovo,4,2,1,7,35.56,0.896551724137931,8,256,1.7,1891,3.75,14.0,Medium,0,1
234,Toshiba,3,2,1,5,33.78,0.8275862068965517,8,256,1.2,1950,2.65,13.3,Medium,1,0
235,Lenovo,4,2,1,5,30.48,0.896551724137931,8,256,1.36,2236,3.0,12.0,Medium,0,1
236,Lenovo,3,3,1,5,39.62,0.8620689655172414,6,256,2.4,883,5.29,15.6,Low,1,0
237,Toshiba,3,2,1,5,35.56,0.793103448275862,8,256,1.95,1499,4.3,14.0,Low,1,0
